City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
194,Hervey Bay,AU,76.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
195,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
196,Raga,SS,91.98,broken clouds,8.4596,25.678,
197,Blackwater,AU,74.79,clear sky,-23.5833,148.8833,Blackwater Motor Inn
198,Sao Joao Del Rei,BR,72.03,overcast clouds,-21.1356,-44.2617,Solara Hotel
199,Saint-Francois,FR,69.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
200,Saint-Joseph,RE,78.48,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
201,Jacarau,BR,90.19,broken clouds,-6.6122,-35.2928,EmEIF senador rui carneiro
202,Bowen,AU,70.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
203,The Valley,AI,85.86,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
204,Ribeira Brava,PT,77.0,scattered clouds,32.65,-17.0667,Hotel do Campo
205,Maumere,ID,82.92,overcast clouds,-8.6199,122.2111,Sylvia Hotel
206,Tabuk,PH,71.58,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
207,Marsh Harbour,BS,78.3,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
208,Ergani,TR,68.72,overcast clouds,38.2653,39.7621,Serkan Hotel
209,Itaqui,BR,80.74,broken clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
210,Keti Bandar,PK,82.81,clear sky,24.1447,67.4497,Haji laloo memon house
211,Dolores,AR,81.34,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
212,Mocuba,MZ,87.8,scattered clouds,-16.8392,36.9856,Phama Lodge
213,Trairi,BR,89.89,few clouds,-3.2778,-39.2689,janelas do mar
214,Flinders,AU,69.39,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
215,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
216,Manthani,IN,75.42,overcast clouds,18.65,79.6667,Arepelli kumar muncipal vice chairman
217,Bosaso,SO,84.54,clear sky,11.2842,49.1816,Red Sea Hotel
218,Itarema,BR,89.53,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
219,Marsa Matruh,EG,76.84,clear sky,31.3525,27.2453,Beau Site
220,Tshikapa,CD,90.75,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
221,Isabela,PH,79.9,broken clouds,6.7085,121.9711,Isawad Resort
222,Abu Dhabi,AE,87.91,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
223,Ulladulla,AU,66.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
224,Grand Gaube,MU,77.4,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
225,Naze,JP,66.27,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
226,Abha,SA,71.42,broken clouds,18.2164,42.5053,Abha Hotel
227,Natal,BR,86.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
228,Maragogi,BR,82.76,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
229,Cotonou,BJ,87.78,light rain,6.3654,2.4183,Novotel Cotonou Orisha
230,Machico,PT,77.0,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
231,Port Macquarie,AU,67.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
232,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
233,Chama,CH,68.05,clear sky,47.1821,8.4636,City Garden Hotel
234,Auki,SB,78.26,clear sky,-8.7676,160.7034,Auki Motel
235,Polis,CY,73.22,light rain,35.0367,32.4264,Marion
236,Nizwa,OM,78.12,overcast clouds,22.9333,57.5333,Orient Apartments
237,Siocon,PH,79.27,clear sky,7.7061,122.1353,ABS Hotel
238,Gizo,SB,83.19,scattered clouds,-8.103,156.8419,Imagination Island
239,Hoa Binh,VN,69.69,overcast clouds,20.8133,105.3383,Hoa Dao Hotel
