City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Touros,BR,2021-10-25 22:12:00,-5.1989,-35.4608,81.5,72,1,16.44
142,Lethem,GY,2021-10-25 22:12:00,3.3803,-59.7968,80.06,81,99,7.96
143,Kumluca,TR,2021-10-25 22:12:01,36.3703,30.2869,66.74,58,86,4.56
144,Kostrzyn,PL,2021-10-25 22:12:01,52.3985,17.2281,43.68,76,100,5.01
145,Vagur,FO,2021-10-25 22:12:02,61.4732,-6.8119,46.54,84,99,16.17
146,Katsuura,JP,2021-10-25 22:09:14,35.1333,140.3,57.22,94,100,24.7
147,Seymchan,RU,2021-10-25 22:12:03,62.8833,152.4333,0.05,93,19,0.58
148,Gwadar,PK,2021-10-25 22:12:03,25.1216,62.3254,77.45,72,0,3.29
149,Souillac,MU,2021-10-25 22:08:08,-20.5167,57.5167,69.37,76,24,16.67
150,Chernyshevskiy,RU,2021-10-25 22:12:04,63.0128,112.4714,28.74,95,100,8.28
151,Creston,US,2021-10-25 22:12:04,41.0586,-94.3614,54.54,71,1,8.05
152,Vung Tau,VN,2021-10-25 22:12:04,10.346,107.0843,78.1,88,100,4.27
153,Brigantine,US,2021-10-25 22:12:05,39.4101,-74.3646,74.48,87,20,5.75
154,Pangnirtung,CA,2021-10-25 22:12:05,66.1451,-65.7125,22.59,62,58,2.46
155,Dumai,ID,2021-10-25 22:12:05,1.6833,101.45,72.27,99,89,1.77
156,Potsdam,DE,2021-10-25 22:12:05,52.3989,13.0657,47.1,91,92,5.44
157,Kushima,JP,2021-10-25 22:12:06,31.4583,131.2333,49.12,89,4,4.16
158,Okha,RU,2021-10-25 22:12:06,53.5739,142.9478,35.58,85,10,7.14
159,Naze,JP,2021-10-25 22:12:06,28.3667,129.4833,67.12,64,0,9.75
160,Tura,IN,2021-10-25 22:12:07,25.5198,90.2201,65.75,92,0,2.89
161,Shingu,JP,2021-10-25 22:12:07,33.7333,135.9833,58.33,87,85,6.13
162,Praia,CV,2021-10-25 22:08:42,14.9215,-23.5087,79.34,83,40,16.11
163,Vostok,RU,2021-10-25 22:12:08,46.4856,135.8833,32.58,77,2,4.61
164,Moctezuma,MX,2021-10-25 22:12:08,29.8,-109.6667,88.75,22,0,10.25
165,Vestmannaeyjar,IS,2021-10-25 22:12:08,63.4427,-20.2734,41.31,82,100,4.76
166,Husavik,IS,2021-10-25 22:12:09,66.0449,-17.3389,30.02,79,78,6.06
167,Luderitz,NA,2021-10-25 22:12:09,-26.6481,15.1594,57.2,89,4,4.79
168,Palmas Bellas,PA,2021-10-25 22:12:09,9.2319,-80.0867,86.4,83,100,5.19
169,Sitio Novo Do Tocantins,BR,2021-10-25 22:12:10,-5.5183,-47.4611,83.77,64,74,2.51
170,Hasaki,JP,2021-10-25 22:07:51,35.7333,140.8333,57.6,89,100,35.59
171,Cayenne,GF,2021-10-25 22:12:10,4.9333,-52.3333,77.09,91,75,3.0
172,Prince Rupert,CA,2021-10-25 22:12:10,54.3161,-130.3201,51.12,72,100,3.24
173,Witten,DE,2021-10-25 22:12:11,51.4333,7.3333,53.53,86,100,7.87
174,Cabo San Lucas,MX,2021-10-25 22:12:07,22.8909,-109.9124,88.61,57,1,14.97
175,Mweka,CD,2021-10-25 22:12:11,-4.85,21.5667,68.56,98,95,1.97
176,Praia Da Vitoria,PT,2021-10-25 22:12:11,38.7333,-27.0667,68.76,81,54,13.8
177,Thompson,CA,2021-10-25 22:12:12,55.7435,-97.8558,40.42,62,72,9.69
178,Tazmalt,DZ,2021-10-25 22:12:12,36.3868,4.3989,59.41,87,68,2.42
179,Muswellbrook,AU,2021-10-25 22:12:12,-32.2667,150.9,62.42,60,65,4.7
180,Aksarka,RU,2021-10-25 22:12:13,66.5606,67.7975,16.05,89,95,4.23
181,Jacareacanga,BR,2021-10-25 22:12:13,-6.2222,-57.7528,83.37,63,83,1.66
182,Tres Arroyos,AR,2021-10-25 22:08:21,-38.3739,-60.2798,58.59,46,61,10.76
183,Tabou,CI,2021-10-25 22:12:13,4.423,-7.3528,78.04,81,100,8.66
184,Mar Del Plata,AR,2021-10-25 22:09:52,-38.0023,-57.5575,62.62,52,0,7.0
185,Kaeo,NZ,2021-10-25 22:12:14,-35.1,173.7833,72.32,82,30,5.1
186,Puerto Escondido,MX,2021-10-25 22:12:14,15.85,-97.0667,86.83,58,40,5.75
187,Nyaunglebin,MM,2021-10-25 22:12:14,17.95,96.7333,72.05,95,12,3.49
188,Zapolyarnyy,RU,2021-10-25 22:12:15,69.4154,30.8136,24.08,92,100,4.36
189,Sao Filipe,CV,2021-10-25 22:12:15,14.8961,-24.4956,79.11,75,33,9.37
190,Marrakesh,MA,2021-10-25 22:12:15,31.6315,-8.0083,68.07,64,20,4.61
191,Tomohon,ID,2021-10-25 22:12:16,1.3346,124.8392,65.34,83,43,1.23
192,Sabinas,MX,2021-10-25 22:10:00,27.85,-101.1167,94.8,25,0,12.73
193,Mount Isa,AU,2021-10-25 22:12:16,-20.7333,139.5,82.17,34,4,0.0
194,Cockburn Town,TC,2021-10-25 22:12:16,21.4612,-71.1419,82.9,74,19,14.99
195,Shakhtinsk,KZ,2021-10-25 22:12:17,49.71,72.5872,38.53,49,100,8.68
196,Olbia,IT,2021-10-25 22:12:17,40.9214,9.4856,57.25,94,0,2.3
197,Itau De Minas,BR,2021-10-25 22:12:17,-20.7394,-46.7522,74.26,70,73,1.57
198,San Cristobal,VE,2021-10-25 22:12:18,7.7669,-72.225,77.18,94,89,2.75
199,Iqaluit,CA,2021-10-25 22:12:18,63.7506,-68.5145,31.69,82,74,4.0
200,Caravelas,BR,2021-10-25 22:12:18,-17.7125,-39.2481,75.04,94,100,3.0
201,Cortez,US,2021-10-25 22:12:18,37.3489,-108.5859,75.52,27,1,16.11
202,Mahebourg,MU,2021-10-25 22:12:19,-20.4081,57.7,69.26,74,17,18.14
203,Clarksdale,US,2021-10-25 22:12:19,34.2001,-90.5709,73.9,56,1,11.5
204,Mitsamiouli,KM,2021-10-25 22:12:20,-11.3847,43.2844,79.03,83,15,14.83
205,Jalu,LY,2021-10-25 22:12:20,29.0331,21.5482,75.31,33,35,13.02
206,Galesong,ID,2021-10-25 22:12:20,-5.3166,119.3661,75.22,76,99,4.36
207,Tahlequah,US,2021-10-25 22:11:16,35.9154,-94.97,67.3,63,1,3.44
208,San Patricio,US,2021-10-25 22:07:42,28.017,-97.5169,92.12,58,94,11.61
209,Broken Hill,AU,2021-10-25 22:12:21,-31.95,141.4333,62.22,22,0,11.25
210,Cuiluan,CN,2021-10-25 22:12:21,47.72,128.648,40.98,92,100,3.53
211,Vostochnyy,RU,2021-10-25 22:12:21,55.8167,37.8667,32.18,75,10,10.8
212,Catio,GW,2021-10-25 22:12:22,11.2833,-15.25,79.16,86,100,4.7
213,Kalakamati,BW,2021-10-25 22:12:22,-20.5929,27.3121,60.58,82,60,11.65
214,Sile,TR,2021-10-25 22:12:22,41.1754,29.6133,56.57,54,90,5.01
215,Warrnambool,AU,2021-10-25 22:12:23,-38.3833,142.4833,53.82,74,33,7.29
216,Sao Domingos,BR,2021-10-25 22:12:23,-13.3983,-46.3183,77.99,66,91,4.38
217,Chapais,CA,2021-10-25 22:12:23,49.7834,-74.8492,38.17,74,100,4.88
218,Samarai,PG,2021-10-25 22:12:24,-10.6167,150.6667,82.62,75,39,8.93
219,Severo-Kurilsk,RU,2021-10-25 22:08:58,50.6789,156.125,42.98,70,3,9.78
220,Sioux Lookout,CA,2021-10-25 22:10:21,50.1001,-91.917,41.72,63,18,5.21
221,Bouloupari,NC,2021-10-25 22:12:24,-21.8667,166.05,76.91,59,0,3.0
222,Saint George,US,2021-10-25 22:12:25,37.1041,-113.5841,81.07,23,20,11.99
223,Port-Gentil,GA,2021-10-25 22:12:25,-0.7193,8.7815,75.94,93,100,9.04
224,Tamale,GH,2021-10-25 22:12:25,9.4008,-0.8393,80.8,69,48,5.01
225,Asau,RO,2021-10-25 22:09:24,46.4333,26.4,34.75,69,0,2.44
226,Kaitangata,NZ,2021-10-25 22:08:17,-46.2817,169.8464,55.15,83,100,6.87
227,Georgetown,MY,2021-10-25 22:10:48,5.4112,100.3354,80.53,89,20,0.0
228,Karauli,IN,2021-10-25 22:12:26,26.5,77.0167,71.08,65,3,5.55
229,Nouadhibou,MR,2021-10-25 22:12:26,20.931,-17.0347,70.21,76,100,18.57
230,Saint-Philippe,RE,2021-10-25 22:12:26,-21.3585,55.7679,72.95,82,42,12.19
231,Xining,CN,2021-10-25 22:10:51,36.6167,101.7667,35.37,94,100,3.13
232,Lorengau,PG,2021-10-25 22:12:27,-2.0226,147.2712,83.48,71,42,4.43
233,Saint-Pierre,RE,2021-10-25 22:12:27,-21.3393,55.4781,73.04,78,0,8.05
234,Mangrol,IN,2021-10-25 22:12:27,21.1167,70.1167,76.17,57,0,10.04
235,Klaksvik,FO,2021-10-25 22:12:28,62.2266,-6.589,43.72,80,100,13.87
236,Chastyye,RU,2021-10-25 22:12:28,57.2888,54.9728,26.8,82,7,7.87
237,Caucaia,BR,2021-10-25 22:12:28,-3.7361,-38.6531,82.35,72,0,11.5
238,Lydenburg,ZA,2021-10-25 22:12:29,-25.0978,30.4597,60.4,92,100,1.45
239,Puro,PH,2021-10-25 22:12:29,12.4841,123.3827,79.05,86,100,9.1
240,Te Anau,NZ,2021-10-25 22:12:29,-45.4167,167.7167,60.85,77,63,2.89
241,Astana,KZ,2021-10-25 22:12:30,51.1801,71.446,39.15,75,0,13.42
242,Alta Floresta,BR,2021-10-25 22:12:30,-9.8756,-56.0861,78.03,72,97,3.87
243,Mackay,AU,2021-10-25 22:12:30,-21.15,149.2,78.67,67,93,9.6
244,Marsa Matruh,EG,2021-10-25 22:12:31,31.3525,27.2453,70.12,78,14,9.53
245,Viedma,AR,2021-10-25 22:08:09,-40.8135,-62.9967,70.81,21,72,5.75
246,Udachnyy,RU,2021-10-25 22:12:31,66.4167,112.4,20.43,95,100,5.93
247,Clyde River,CA,2021-10-25 22:12:31,70.4692,-68.5914,16.59,74,40,5.57
248,Inirida,CO,2021-10-25 22:12:32,3.8653,-67.9239,75.58,97,100,2.37
249,Lugazi,UG,2021-10-25 22:12:32,0.3772,32.9197,63.97,92,83,1.92
250,Burnie,AU,2021-10-25 22:12:32,-41.0667,145.9167,51.21,62,0,5.41
251,Eregli,TR,2021-10-25 22:12:33,37.5133,34.0467,44.37,73,81,2.53
252,Sistranda,NO,2021-10-25 22:12:33,63.7256,8.834,49.89,84,100,8.46
253,Dikson,RU,2021-10-25 22:12:33,73.5069,80.5464,13.8,83,100,16.75
254,Fairbanks,US,2021-10-25 22:10:45,64.8378,-147.7164,31.1,91,90,0.0
255,Eyl,SO,2021-10-25 22:12:34,7.9803,49.8164,77.67,77,63,5.5
256,Loksa,EE,2021-10-25 22:12:34,59.5764,25.7214,48.92,79,100,14.5
257,Paamiut,GL,2021-10-25 22:12:34,61.994,-49.6678,37.09,58,30,13.15
258,Russell,US,2021-10-25 22:12:35,32.3502,-85.1999,81.68,70,75,4.61
259,Alyangula,AU,2021-10-25 22:12:35,-13.8483,136.4192,80.73,75,70,5.39
260,Takoradi,GH,2021-10-25 22:12:35,4.8845,-1.7554,78.17,88,76,9.95
261,Sobolevo,RU,2021-10-25 22:12:36,54.4299,31.8996,34.14,74,76,11.23
262,Fortuna,US,2021-10-25 22:12:36,40.5982,-124.1573,63.91,63,75,1.01
263,Khatanga,RU,2021-10-25 22:12:36,71.9667,102.5,5.47,96,100,7.9
264,Yerbogachen,RU,2021-10-25 22:12:37,61.2767,108.0108,31.51,98,100,6.96
265,Cairns,AU,2021-10-25 22:12:37,-16.9167,145.7667,82.94,72,40,8.05
266,Le Vauclin,MQ,2021-10-25 22:12:37,14.5452,-60.8388,82.45,69,40,13.8
